"","Reef2","year","time_since_closure","rugosity","year_established","Reef","mean.biomass","SD","time_since_closure.x","mean.biomass.ha","SD.ha","time_since_closure.y","ben_pc1","long","lat","npp_mean","npp_min","npp_max","npp_sd","npp_interann_sd","npp_flag","tsa_max.y","tsa_max.lag.sc","npp_mean_sc","ben_pc1_sc","rugosity_sc","time_since_closure_sc","log.biomass"
"1","Kisite",1995,22,1.44802023933903,1973,"Kisite",407.605,91.7580522352126,22,815.21,183.516104470425,22,2.4609095331627,39.38113,-4.71559,989.3159544,729.4661285,1517.137072,215.459747,158.9502437,1,0.254246623,0.0565160535780576,-0.518758508023392,1.61524750146509,2.27310705910181,-0.432034912440354,2.91126949842499
"2","Kisite",2004,31,1.2,1973,"Kisite",782.343333333333,250.770591550657,31,1564.68666666667,501.541183101315,31,0.972016127907163,39.38113,-4.71559,989.3159544,729.4661285,1517.137072,215.459747,158.9502437,1,-0.397086711,-1.78383927955729,-0.518758508023392,0.42678982796278,-1.95930429833077,0.296097961220689,3.19442738177904
"3","Kisite",2006,33,1.2,1973,"Kisite",720.58,261.223940837487,33,1441.16,522.447881674973,33,1.036118824746,39.38113,-4.71559,989.3159544,729.4661285,1517.137072,215.459747,158.9502437,1,0.07435415,-0.451773718792868,-0.518758508023392,0.47795758898677,-1.95930429833078,0.457905266478699,3.15871219959239
"4","Kisite",2009,36,1.3,1973,"Kisite",917.5125,318.079999724912,36,1835.025,636.159999449824,36,1.70196487238924,39.38113,-4.71559,989.3159544,729.4661285,1517.137072,215.459747,158.9502437,1,0.678579956,1.25547835390713,-0.518758508023392,1.00944617097627,-0.2528260815885,0.700616224365713,3.26364198536636
"5","Kisite",2012,39,1.2,1973,"Kisite 2",455.9537777385,39.873844076545,39,911.907555477,79.7476881530899,39,2.20393029160624,39.38113,-4.71559,989.3159544,729.4661285,1517.137072,215.459747,158.9502437,1,-0.140161979,-1.05789332213671,-0.518758508023392,1.41012270846074,-1.95930429833078,0.943327182252728,2.95995081400697
"6","Kisite",2012,39,1.2,1973,"Kisite 1",771.0015724905,223.23404732963,39,1542.003144981,446.46809465926,39,2.20393029160624,39.38113,-4.71559,989.3159544,729.4661285,1517.137072,215.459747,158.9502437,1,-0.140161979,-1.05789332213671,-0.518758508023392,1.41012270846074,-1.95930429833078,0.943327182252728,3.18808525947791
"7","Kisite",2013,40,1.23758666466206,1973,"Kisite Edge 2",374.4321060315,140.503832606138,40,748.864212063,281.007665212277,40,1.15685094132841,39.38113,-4.71559,989.3159544,729.4661285,1517.137072,215.459747,158.9502437,1,0.273913289,0.112084610826337,-0.518758508023392,0.574327826025943,-1.31789605347283,1.02423083488173,2.87440307631365
"8","Kisite",2013,40,1.23758666466206,1973,"Kisite Edge 1",680.57114105,30.8632264470429,40,1361.1422821,61.7264528940857,40,1.15685094132841,39.38113,-4.71559,989.3159544,729.4661285,1517.137072,215.459747,158.9502437,1,0.273913289,0.112084610826337,-0.518758508023392,0.574327826025943,-1.31789605347283,1.02423083488173,3.13390352498377
"9","Kisite",2015,42,1.25,1973,"Kisite 1",817.422628919,NA,42,1634.845257838,NA,42,1.81932429949976,39.38113,-4.71559,989.3159544,729.4661285,1517.137072,215.459747,158.9502437,1,0.698913289,1.31293059206783,-0.518758508023392,1.10312427527508,-1.10606518995964,1.18603814013974,3.21347665189082
"10","Kisite",2015,42,1.25,1973,"Kisite 2",1175.805919201,NA,42,2351.611838402,NA,42,1.81932429949976,39.38113,-4.71559,989.3159544,729.4661285,1517.137072,215.459747,158.9502437,1,0.698913289,1.31293059206783,-0.518758508023392,1.10312427527508,-1.10606518995964,1.18603814013974,3.37136563783263
"11","Malindi",1992,24,1.23333333333333,1968,"Malindi",558.274,85.0882813905652,24,1116.548,170.17656278113,24,-0.00123060674226782,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,0.236130804,0.00532944547676757,2.79658489508401,-0.350070722243407,-1.39047822608335,-0.270227607182345,3.04787739797355
"12","Malindi",1993,25,1.3,1968,"Malindi",697.932,74.2665528350414,25,1395.864,148.533105670083,25,0.0464085392654182,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,-0.059729411,-0.830629496151453,2.79658489508401,-0.312044421346323,-0.252826081588496,-0.18932395455334,3.14484310673501
"13","Malindi",1994,26,1.3,1968,"Malindi",1255.505,148.688494399085,26,2511.01,297.376988798169,26,-0.210619091439298,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,-0.092062744,-0.921987973782495,2.79658489508401,-0.517207839314925,-0.252826081588496,-0.108420301924335,3.39984844227731
"14","Malindi",1995,27,1.3150117351566,1968,"Malindi",909.37,184.833713916049,27,1818.74,369.667427832099,27,0.148740283939662,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,0.398937256,0.465342324545911,2.79658489508401,-0.230361644881804,0.00334590881396951,-0.0275166492953302,3.25977061844998
"15","Malindi",1996,28,1.3,1968,"Malindi",846.5475,152.813050789737,28,1693.095,305.626101579473,28,0.327750219532181,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,-0.216062744,-1.27235244830942,2.79658489508401,-0.0874731541160267,-0.252826081588496,0.0533870033336746,3.22868132716875
"16","Malindi",1997,29,1.25,1968,"Malindi",675.2275,109.05956579625,29,1350.455,218.119131592501,29,-0.192558053845931,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,0.166937256,-0.190178305214151,2.79658489508401,-0.502791240622578,-1.10606518995964,0.134290655962679,3.13048011715931
"17","Malindi",1999,31,1.35,1968,"Malindi",896.075,94.1186855340992,31,1792.15,188.237371068198,31,-0.500368809687138,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,0.201937256,-0.0912851067589689,2.79658489508401,-0.74849053210627,0.600413026782644,0.296097961220689,3.25337435657944
"18","Malindi",2000,32,1.35,1968,"Malindi",466.56,110.300890597795,32,933.12,220.601781195589,32,-1.84460021875029,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,-0.07580468,-0.876050489506808,2.79658489508401,-1.82147676968701,0.600413026782644,0.377001613849694,2.96993749796584
"19","Malindi",2001,33,1.3,1968,"Malindi",679.415,203.058436006321,33,1358.83,406.116872012643,33,-2.33823500695308,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,-0.481933712,-2.02357617407786,2.79658489508401,-2.21550366904494,-0.252826081588496,0.457905266478699,3.13316512657791
"20","Malindi",2002,34,1.35,1968,"Malindi",537.675,136.723424352474,34,1075.35,273.446848704948,34,-2.83228186947228,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,1.208937256,2.7540134887944,2.79658489508401,-2.60985949247603,0.600413026782644,0.538808919107704,3.03154983944172
"21","Malindi",2004,36,1.3,1968,"Malindi",562.3875,87.8982193126421,36,1124.775,175.796438625284,36,-1.91263136861789,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,-0.409062744,-1.81767779979085,2.79658489508401,-1.87578028249186,-0.252826081588496,0.700616224365713,3.05106565486395
"22","Malindi",2005,37,1.3,1968,"Malindi",942.55,NA,37,1885.1,NA,37,-2.19954490276409,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,-0.013062744,-0.69877189726937,2.79658489508401,-2.10479908940181,-0.252826081588496,0.781519876994718,3.27533439342577
"23","Malindi",2006,38,1.3,1968,"Malindi",736.15,196.375860193321,38,1472.3,392.751720386642,38,-1.39357707266591,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,-0.063224034,-0.840503623176168,2.79658489508401,-1.46146314010207,-0.252826081588496,0.862423529623723,3.16799631208688
"24","Malindi",2007,39,1.3,1968,"Malindi",995.3375,137.986033441794,39,1990.675,275.972066883589,39,-1.76908444313259,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,0.432937256,0.56141000304523,2.79658489508401,-1.7611989132021,-0.252826081588496,0.943327182252728,3.29900036237407
"25","Malindi",2009,41,1.25,1968,"Malindi",706.485,31.9541554418201,41,1412.97,63.9083108836402,41,-0.586684045882431,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,0.562603923,0.927785758263885,2.79658489508401,-0.817388684542411,-1.10606518995964,1.10513448751074,3.15013294106104
"26","Malindi",2011,43,1.35,1968,"Malindi",518.73,140.728391591747,43,1037.46,281.456783183493,43,-0.788542088472443,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,0.559270589,0.918367356527331,2.79658489508401,-0.97851488661131,0.600413026782644,1.26694179276875,3.01597136117771
"27","Malindi",2013,45,1.35,1968,"Malindi",965.60702676,94.5443826854815,45,1931.21405352,189.088765370963,45,-0.122732613814754,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,0.148603923,-0.24197950346312,2.79658489508401,-0.447055497742795,0.600413026782644,1.42874909802676,3.28583041314266
"28","Malindi",2016,48,1.3,1968,"Malindi Edge",244.4741349155,13.7025957652976,48,488.948269831,27.4051915305952,48,-0.0855547087104772,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,0.227937256,-0.0178215879065483,2.79658489508401,-0.41737952063795,-0.252826081588496,1.67146005591377,2.68926291369346
"29","Malindi",2016,48,1.3,1968,"Malindi",488.8950389385,170.574155443829,48,977.790077877,341.148310887659,48,-0.0855547087104772,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,0.227937256,-0.0178215879065483,2.79658489508401,-0.41737952063795,-0.252826081588496,1.67146005591377,2.99024562594773
"30","Mombasa",1991,0,1.36666666666667,1991,"Mombasa",129.677142857143,23.2101031983098,0,259.354285714286,46.4202063966196,0,1.35836842389793,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,0.809201752,1.62455284517571,-0.614450820620645,0.735182187835349,0.884826062906356,-2.21191527027846,2.41389342891216
"31","Mombasa",1992,1,1.2,1991,"Mombasa",245.006,31.8808050400237,1,490.012,63.7616100800474,1,1.30482995876347,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,0.23723401,0.00844657604519462,-0.614450820620645,0.692446959448961,-1.95930429833078,-2.13101161764946,2.69020671568151
"32","Mombasa",1993,2,1.35,1991,"Mombasa",160.136,64.4191887561463,2,320.272,128.838377512293,2,1.78946663583403,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,-0.136464915,-1.04744719402661,-0.614450820620645,1.07929142775817,0.600413026782644,-2.05010796502045,2.50551897182949
"33","Mombasa",1994,3,1.4,1991,"Mombasa",540.0975,83.2860193850084,3,1080.195,166.572038770017,3,2.11594025151326,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,-0.109798248,-0.972099994261771,-0.614450820620645,1.33988770172946,1.45365213515378,-1.96920431239145,3.03350216269019
"34","Mombasa",1995,4,1.4,1991,"Mombasa",237.2175,127.83060858678,4,474.435,255.661217173561,4,1.75652058267794,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,0.285201752,0.14398038830385,-0.614450820620645,1.0529933801298,1.45365213515378,-1.88830065976244,2.67617672029334
"35","Mombasa",1996,5,1.35,1991,"Mombasa",275.33,125.607262794261,5,550.66,251.214525588523,5,1.99754607111577,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,-0.045798248,-0.791266717086582,-0.614450820620645,1.24538364140201,0.600413026782644,-1.80739700713344,2.74088353043043
"36","Mombasa",1997,6,1.35,1991,"Mombasa",403.815,47.552837630016,6,807.63,95.105675260032,6,1.6666533824446,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,-0.118464915,-0.996587834821084,-0.614450820620645,0.981259995230335,0.600413026782644,-1.72649335450443,2.90721244275361
"37","Mombasa",1999,8,1.35,1991,"Mombasa",316.27,105.044838362799,8,632.54,210.089676725599,8,0.521152992127171,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,0.328868418,0.267361424492826,-0.614450820620645,0.0669039210700164,0.600413026782644,-1.56468604924642,2.8010879942431
"38","Mombasa",2000,9,1.3,1991,"Mombasa",401.1125,113.915138114592,9,802.225,227.830276229185,9,0.714085804900338,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,0.10723401,-0.358871018216909,-0.614450820620645,0.220905867079912,-0.252826081588496,-1.48378239661742,2.90429619191747
"39","Mombasa",2001,10,1.3,1991,"Mombasa",411.265,103.277739615079,10,822.53,206.555479230157,10,0.932203222793514,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,-0.461798248,-1.96668301872531,-0.614450820620645,0.39501055322107,-0.252826081588496,-1.40287874398841,2.91515174686135
"40","Mombasa",2002,11,1.3,1991,"Mombasa",570.2575,162.682996934734,11,1140.515,325.365993869468,11,0.302184060173302,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,1.051868418,2.31021235258129,-0.614450820620645,-0.107880456723985,-0.252826081588496,-1.32197509135941,3.05710100147097
"41","Mombasa",2004,13,1.3,1991,"Mombasa",597.1475,105.557118621468,13,1194.295,211.114237242936,13,0.407806878022867,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,-0.399131582,-1.78961710337495,-0.614450820620645,-0.0235706949054697,-0.252826081588496,-1.1601677861014,3.07711161410318
"42","Mombasa",2005,14,1.3,1991,"Mombasa",731.18,NA,14,1462.36,NA,14,1.31799307613942,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,0.027535085,-0.584061921265184,-0.614450820620645,0.702953962702141,-0.252826081588496,-1.07926413347239,3.16505429927538
"43","Mombasa",2006,15,1.3,1991,"Mombasa",1010.9925,503.76124711183,15,2021.985,1007.52249422366,15,1.06676950133271,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,-0.02276599,-0.726188612479012,-0.614450820620645,0.502423431644768,-0.2528260815885,-0.998360480843388,3.30577792947388
